prolific_pid,wtp1_fr,wtp1_sp,wtp1_us,wtp2_fr,wtp2_sp,wtp2_us,wtp4_fr,wtp4_sp,wtp4_us,wtp5_mid_fr,wtp5_mid_sp,wtp5_mid_us,wtp5_nyh_fr,wtp5_nyh_sp,wtp5_nyh_us,wtp5_nyl_fr,wtp5_nyl_sp,wtp5_nyl_us,wtp5_frh_fr,wtp5_frh_sp,wtp5_frh_us,wtp5_frl_fr,wtp5_frl_sp,wtp5_frl_us,wtp5_sph_fr,wtp5_sph_sp,wtp5_sph_us,wtp5_spl_fr,wtp5_spl_sp,wtp5_spl_us,wtp5_hgh_fr,wtp5_hgh_sp,wtp5_hgh_us,wtp5_low_fr,wtp5_low_sp,wtp5_low_us,age,gender,eth_white,eth_black,eth_native,eth_asian,eth_pacific,eth_hispanic,eth_mideast,eth_other,eth_skip,eth_othertxt,edu,inc,ms,child,hhsize,hhsizetxt,state,foodshopper,wineshopper,veg,buywine,wheredrink,wheredrinktxt,cons_red,cons_wht,cons_rose,cons_sweet,cons_sparkling,cons_fruit,cons_skip,freqdrink,freqdrink_sparkling,freqdrink_nywine,freqtasting,avgspend,familiar_champagne,familiar_cava,familiar_ny,quality_champagne,quality_cava,quality_ny,freqonlinepurch,freqreadreview,freqwritereview,buywineonline,buywineonline_txt,writewinereview,learn_rec,learn_salesperson,learn_ad,learn_instore,learn_specwebsite,learn_mag,learn_social,learn_reviews,learn_other,learn_skip,learn_othertxt,wt_price,wt_region,wt_winery,wt_expert,wt_consrec,wt_social,op_knowledgeable,op_expert,op_rarenotheard,op_heardmostnew,test_peppery,test_frregion,test_icewine
5b8557d0bb0eb8000105a696,40,35,20,40,25,15,30,40,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,35,30,NA,NA,NA,23,1,NA,1,NA,NA,NA,NA,NA,NA,NA,,5,1,4,0,4,NA,NA,0,0,0,5,2,,1,NA,NA,NA,NA,1,NA,3,1,1,0,4,3,2,1,4,4,3,3,4,2,0,,0,NA,NA,NA,1,1,NA,NA,1,NA,NA,,4,2,1,3,4,2,2,4,1,2,5,5,5
5c159f7745de2c000133c3f2,25,25,10,25,25,10,25,25,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,20,15,NA,NA,NA,NA,NA,NA,36,1,NA,NA,NA,1,NA,1,NA,NA,NA,,6,1,3,0,2,NA,NA,1,1,0,5,2,,1,1,1,NA,1,NA,NA,2,1,1,0,2,3,2,1,4,4,2,4,4,2,0,,0,1,1,NA,1,1,NA,NA,1,NA,NA,,3,4,3,2,3,2,2,1,1,1,5,5,5
5c4f0e755d386b00016e772b,24.99,22.99,16.99,22.99,20.99,14.99,26.99,26.99,21.99,29.99,26.99,22.99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26,2,1,NA,NA,NA,NA,NA,NA,NA,NA,,2,1,3,1,3,NA,NA,1,1,0,5,2,,NA,1,NA,1,1,1,NA,4,2,0,2,3,4,1,1,5,5,5,4,3,4,0,,0,1,NA,1,1,NA,1,1,1,NA,NA,,2,3,1,4,4,3,4,4,2,3,3,3,4
5bdfb0af484288000130d972,30,20,10,25,15,15,40,30,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50,20,30,NA,NA,NA,NA,NA,NA,30,1,NA,NA,NA,1,NA,NA,NA,NA,NA,,5,2,1,1,3,NA,NA,1,1,0,2,1,,1,NA,NA,NA,1,NA,NA,3,3,1,0,3,4,2,3,5,3,3,4,4,2,0,,0,1,NA,NA,1,NA,1,NA,1,NA,NA,,5,4,2,3,4,3,2,2,1,1,1,3,3
5a6032228e625900017657f4,30.99,50,30.99,50,45,50,40,40,50,NA,NA,NA,30,30,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26,1,1,NA,NA,NA,NA,NA,NA,NA,NA,,5,3,3,0,5,NA,NA,0,0,0,3,1,,1,NA,1,NA,NA,NA,NA,1,1,2,0,5,3,1,1,3,3,3,3,4,1,1,,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,,3,2,1,2,3,1,2,2,3,2,2,4,4
563e5abecbd4c60005dc9153,15,15,15,15,15,15,15,15,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,15,15,48,2,1,NA,NA,NA,NA,NA,NA,NA,NA,,5,3,1,0,2,NA,NA,1,1,0,3,1,,1,1,NA,NA,NA,NA,NA,6,1,1,1,2,1,1,1,2,3,2,2,4,2,1,,0,NA,NA,NA,1,NA,NA,1,1,NA,NA,,3,2,2,2,2,2,2,2,2,2,3,4,4
5c741ddddfb7bd0015841337,15,15,15,15,15,15,20,20,20,20,20,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29,1,1,NA,NA,NA,NA,NA,NA,NA,NA,,2,2,1,0,2,NA,NA,1,0,0,3,1,,NA,NA,NA,1,NA,1,NA,1,0,0,0,2,1,1,1,4,4,4,2,3,3,0,,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,,5,4,1,3,4,2,1,1,1,1,5,5,5
5c016d9738f8af00011a9a27,15,12,10,18,13,11,20,16,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,15,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27,1,1,NA,NA,NA,NA,NA,NA,NA,NA,,2,2,1,0,2,NA,NA,1,1,0,3,1,,1,1,1,NA,NA,NA,NA,2,1,0,0,2,3,1,1,4,2,2,3,3,2,1,,0,1,NA,NA,1,NA,NA,NA,1,NA,NA,,4,3,3,3,4,2,2,4,2,2,5,2,4
5d4c37ac4c7d3800013f14c9,14.99,12.99,9.99,14.99,12.99,9.99,19.99,14.99,12.99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.99,19.99,16.99,NA,NA,NA,NA,NA,NA,NA,NA,NA,48,1,1,NA,NA,NA,NA,NA,NA,NA,NA,,5,4,1,0,5,NA,NA,1,1,0,5,1,,1,1,NA,NA,NA,NA,NA,5,0,0,2,2,1,1,1,3,3,3,3,3,0,0,,0,1,1,NA,1,NA,NA,NA,NA,NA,NA,,4,3,4,2,1,1,3,2,2,1,1,4,4
591b83c9329c15000122840d,40,35,15,50,45,25,80,75,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60,75,45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,2,1,NA,NA,NA,NA,NA,NA,NA,NA,,5,3,4,-1,4,NA,NA,0,0,1,4,1,,1,NA,1,1,NA,1,NA,3,1,-1,0,3,1,1,1,5,5,3,2,3,1,0,,0,1,NA,NA,NA,NA,NA,1,1,NA,NA,,5,2,1,2,4,4,1,1,1,1,5,3,3
5ca4b562613eb10015b6e5f8,15,15,10,20,20,20,20,20,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,20,20,NA,NA,NA,40,2,1,NA,NA,NA,NA,NA,NA,NA,NA,,2,2,3,0,2,NA,NA,0,1,0,3,1,,1,1,NA,NA,NA,NA,NA,4,1,0,1,1,3,1,1,5,5,5,4,4,2,0,,0,1,1,1,1,NA,NA,NA,NA,NA,NA,,4,2,2,2,2,1,2,2,1,1,5,5,5
5ca227b36b36c400013ce15a,60,50,30,60,50,30,99.99,50,30,NA,NA,NA,NA,NA,NA,99.99,90,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28,1,1,NA,NA,NA,NA,1,NA,NA,NA,,5,1,4,0,1,NA,NA,1,1,0,5,1,,1,1,NA,NA,1,1,NA,5,3,0,0,6,5,5,1,5,5,3,2,3,0,0,,0,1,NA,NA,1,NA,1,1,1,NA,NA,,3,5,2,4,2,2,3,3,1,1,5,4,5
5bf9c4c6850b6600018eede2,10,10,10,20,20,20,15,15,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,30,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,70,1,1,NA,NA,NA,NA,NA,NA,NA,NA,,5,1,1,0,2,NA,NA,0,0,0,3,2,,NA,1,NA,NA,NA,NA,NA,2,0,0,0,2,1,1,1,3,3,3,0,0,3,0,,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,,5,1,1,1,1,1,2,2,2,2,5,5,5
5d1283351716480017019be7,24,19,13,24,20,14,24,21,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,24,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,28,2,1,NA,NA,NA,NA,NA,NA,NA,NA,,6,1,1,0,3,NA,NA,1,1,0,5,1,,1,1,NA,NA,NA,NA,NA,4,2,1,2,2,4,3,1,5,4,3,3,3,1,0,,0,1,1,NA,1,1,NA,1,1,NA,NA,,4,3,2,4,4,2,2,3,1,1,5,3,4
5ccb0f1a1e01680015ea6285,35,30,15,35,30,15,35,30,25,35,32,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37,1,1,NA,NA,NA,NA,NA,NA,NA,NA,,6,1,4,0,1,NA,NA,1,1,0,5,1,,1,1,NA,NA,1,NA,NA,4,1,0,1,3,4,4,1,5,5,2,3,3,1,0,,0,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,,4,4,2,4,5,5,4,5,4,4,3,3,4
5be4c8d0d4079000014c0998,75,75,60,75,75,60,85,85,85,NA,NA,NA,NA,NA,NA,75,75,60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26,2,1,NA,NA,NA,NA,NA,NA,NA,NA,,3,2,4,0,4,NA,NA,1,1,0,3,2,,1,1,1,1,1,1,NA,1,1,0,0,5,2,2,2,3,3,NA,2,3,1,0,,0,1,1,1,NA,NA,NA,1,1,NA,NA,,2,4,3,3,4,3,2,3,3,3,5,5,5
5d4ba91e0cf3e60019d88cf5,70,60,20,65,50,25,60,70,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,65,65,30,29,2,1,NA,NA,NA,NA,NA,NA,NA,NA,,3,2,1,0,2,NA,NA,1,1,0,5,1,,1,1,1,NA,1,NA,NA,4,1,0,2,5,5,5,1,4,4,1,3,3,2,0,,0,1,NA,NA,NA,NA,NA,NA,NA,1,NA,"I live in WA, we are around a lot of wine and I have been to many tastings in the Woodinville area so since I am familiar with a winery's style, it helps me decide what to buy",2,2,1,2,2,1,5,3,1,1,3,3,4
5c60b4802100f70001a3e137,15,15,15,12,12,12,16,12,13,NA,NA,NA,14,14,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28,1,1,NA,NA,NA,NA,NA,NA,NA,NA,,5,3,1,0,2,NA,NA,1,1,0,5,1,,1,NA,NA,1,NA,NA,NA,4,1,1,0,3,1,1,1,5,3,3,4,4,1,0,,0,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,,3,2,1,4,2,1,3,3,2,2,5,5,5
56e1c4f46ce054000b400a34,14,14,7,14,14,7,14,7,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,10,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,2,1,NA,NA,NA,NA,NA,NA,NA,NA,,4,2,1,1,5,NA,NA,1,1,0,3,1,,1,1,1,1,NA,1,NA,5,4,1,1,2,3,2,3,4,3,2,3,3,2,0,,0,1,1,NA,1,NA,NA,NA,1,NA,NA,,4,2,1,2,4,2,1,1,1,1,1,3,3
5d4b1b0d323d840017900e10,20,30,15,30,40,20,40,45,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40,25,33,NA,NA,NA,NA,NA,NA,23,2,1,NA,NA,NA,NA,NA,NA,NA,NA,,3,1,1,0,2,NA,NA,1,1,0,4,1,,1,1,NA,1,1,NA,NA,3,1,0,0,3,4,4,3,5,5,3,4,4,1,0,,0,1,NA,NA,1,NA,NA,1,NA,NA,NA,,4,4,2,5,5,1,2,2,1,1,2,3,3
5c586f5eee248f00016b7fe7,10,4,3,11,4.5,3.5,9,3,4.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.5,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32,2,NA,NA,NA,1,NA,NA,NA,NA,NA,,6,1,1,0,2,NA,NA,1,1,0,2,1,,NA,NA,1,NA,1,1,NA,3,3,0,1,1,2,2,2,4,3,3,4,4,4,0,,0,1,NA,NA,NA,NA,NA,NA,1,NA,NA,,4,4,2,4,3,1,2,1,2,2,5,5,3
593495766bedf50001dc3015,15,15,10,17,15,12,15,10,12,17,15,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,2,1,NA,NA,NA,NA,NA,NA,NA,NA,,2,3,4,0,3,NA,NA,1,1,0,4,1,,NA,1,1,1,1,1,NA,1,2,1,0,1,1,1,1,4,4,4,2,4,2,0,,0,1,1,NA,NA,NA,NA,NA,1,NA,NA,,4,2,1,3,4,4,1,1,1,1,5,5,5
5bcb229aa8920a00013060fa,15,15,15,15,15,15,15,15,15,NA,NA,NA,NA,NA,NA,20,15,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,2,1,NA,NA,NA,NA,NA,NA,NA,NA,,2,1,3,1,4,NA,NA,1,0,0,3,1,,NA,NA,NA,1,1,1,NA,2,2,0,0,2,1,1,1,5,4,3,3,3,3,0,,0,1,NA,NA,NA,NA,NA,NA,1,NA,NA,,5,2,2,3,4,3,2,1,1,1,5,5,5
5d1615c2665ed90016046bc3,50,50,30,50,50,30,50,60,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50,60,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,2,1,NA,NA,NA,NA,NA,NA,NA,NA,,5,2,3,0,3,NA,NA,0,1,1,5,1,,1,1,NA,NA,NA,NA,NA,2,0,1,1,2,4,4,2,5,5,4,4,4,2,0,,0,1,1,NA,1,NA,NA,NA,NA,NA,NA,,4,1,1,2,2,2,2,3,1,1,5,5,5
5ce2b8ac3f806000190a0b87,12,12,12,10,10,10,10,5,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,12,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,1,1,NA,NA,NA,NA,NA,NA,NA,NA,,5,1,4,0,1,NA,NA,1,1,0,5,1,,1,1,1,1,NA,1,NA,2,1,0,1,1,3,1,2,4,3,3,1,3,0,0,,0,1,NA,NA,1,NA,NA,NA,NA,NA,NA,,5,2,3,3,2,1,2,1,1,1,5,4,1
5c8d7a186894d00001912306,15,15,15,15,15,15,15,15,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,15,15,NA,NA,NA,NA,NA,NA,25,1,NA,NA,NA,NA,NA,1,NA,NA,NA,,5,1,3,0,2,NA,NA,-1,-1,-1,3,1,,1,NA,NA,NA,NA,NA,NA,1,1,0,0,2,1,1,1,3,3,3,0,1,1,0,,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,,3,1,2,2,2,1,3,3,3,3,5,5,5
5cec440e0c156c001935975b,24,29,20.99,24,25,21,21,25,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,25,25,NA,NA,NA,34,1,1,NA,NA,NA,NA,NA,NA,NA,NA,,5,2,1,1,3,NA,NA,0,1,0,4,1,,1,NA,1,NA,NA,NA,NA,5,1,1,-1,4,3,5,4,3,5,4,4,0,0,3,,0,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,,4,5,3,3,2,2,2,3,2,3,2,5,3
5c6b949a23f6300001383a05,50,40,30,50,50,50,30,30,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,40,30,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33,2,NA,NA,NA,1,NA,NA,NA,NA,NA,,6,3,4,0,2,NA,NA,1,1,1,4,1,,1,NA,1,NA,1,NA,NA,3,3,0,1,5,5,4,5,5,3,4,3,4,2,0,,1,1,NA,1,1,1,NA,1,1,NA,NA,,4,2,4,5,5,5,3,4,2,3,2,5,4
5c1c690f10140800013f03f7,50,35,40,100,75,75,100,75,75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,75,75,56,2,1,NA,NA,NA,NA,NA,NA,NA,NA,,5,5,1,1,3,NA,NA,1,1,0,3,1,,1,1,NA,NA,NA,NA,NA,5,1,2,2,5,3,3,3,4,4,4,2,3,1,2,,0,NA,NA,NA,NA,NA,1,1,1,NA,NA,,2,3,3,2,2,1,4,4,2,3,2,3,3
5bd2469c669ee10001444342,25,15,10,30,20,15,30,20,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,25,15,NA,NA,NA,24,1,1,NA,NA,NA,NA,NA,NA,NA,NA,,2,1,4,0,3,NA,NA,0,1,0,3,1,,1,1,1,NA,NA,NA,NA,3,1,1,0,3,4,3,3,4,3,3,2,4,0,0,,0,1,NA,NA,NA,NA,NA,NA,1,NA,NA,,4,3,2,2,3,1,1,1,2,1,2,3,5
5d36d88240502d00015c1f1d,22,17,12,22,15,10,20,14,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17,20,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37,2,NA,1,NA,NA,NA,NA,NA,NA,NA,,8,1,2,0,1,NA,NA,1,1,0,4,1,,1,NA,NA,1,1,1,NA,2,1,0,0,2,4,1,1,5,4,3,3,4,0,0,,0,1,NA,1,1,NA,NA,NA,1,NA,NA,,4,4,3,3,4,1,2,2,1,1,5,5,5
5ce2e9b3ed552600159dc3ff,25,20,15,25,20,15,25,20,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,25,20,NA,NA,NA,27,2,1,NA,NA,1,NA,NA,NA,NA,NA,,5,3,3,0,2,NA,NA,1,0,0,5,1,,NA,1,NA,NA,NA,NA,NA,2,0,1,1,3,3,1,3,5,5,4,3,4,1,2,,0,1,NA,NA,NA,NA,1,1,NA,NA,NA,,3,3,1,4,3,2,2,1,2,2,3,3,3
5c736ca5eaffc10001ae1dad,30,25,20,25,25,20,25,25,20,NA,NA,NA,20,20,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34,2,1,NA,NA,NA,NA,NA,NA,NA,NA,,3,1,2,1,4,NA,NA,1,0,0,4,1,,NA,1,NA,1,1,NA,NA,1,1,0,-1,1,3,2,1,4,3,3,2,2,1,0,,0,NA,NA,NA,1,NA,1,NA,NA,NA,NA,,4,5,1,3,3,1,3,1,1,1,2,3,3
